Transaction Date,Amount INR,Status,Gateway Fee,Description
2024-01-28,2112,FAILED,72,Transfer to savings
2024-03-23,1647,SUCCESS,49,Electricity Bill
2024-03-13,394,SUCCESS,64,Razorpay Payment
2024-04-01,2085,SUCCESS,16,Zomato
2024-02-27,5443,SUCCESS,36,Razorpay Payment
2024-01-02,5744,SUCCESS,17,Client Payment
2024-03-21,3217,SUCCESS,35,Interest Credit
2024-01-29,1790,SUCCESS,24,Zomato
2024-04-07,1236,SUCCESS,22,Transfer to savings
2024-04-28,5452,FAILED,64,Client Payment
2024-02-16,2164,SUCCESS,67,Interest Credit
2024-03-09,4555,PENDING,10,Refund
2024-04-14,7490,SUCCESS,36,Electricity Bill
2024-01-11,7109,SUCCESS,47,ATM Withdrawal
2024-01-15,4895,SUCCESS,6,Refund
2024-04-21,4643,SUCCESS,64,Amazon Order
2024-01-18,7099,FAILED,27,Razorpay Payment
2024-02-19,6608,SUCCESS,35,ATM Withdrawal
2024-02-12,4870,FAILED,9,Client Payment
2024-02-10,1107,SUCCESS,38,Swiggy
2024-04-10,5545,SUCCESS,14,Refund
2024-01-26,2614,SUCCESS,6,Amazon Order
2024-01-30,6657,SUCCESS,15,UPI Payment
2024-01-22,3626,SUCCESS,54,ATM Withdrawal
2024-03-18,4781,SUCCESS,35,Netflix
2024-01-04,5452,SUCCESS,60,Zomato
2024-01-14,1347,SUCCESS,77,Amazon Order
2024-03-19,5189,SUCCESS,13,Electricity Bill
2024-03-04,4002,SUCCESS,25,ATM Withdrawal
2024-01-15,1535,SUCCESS,77,Refund
2024-01-26,671,SUCCESS,32,Electricity Bill
2024-01-29,2482,SUCCESS,66,Netflix
2024-01-01,1345,SUCCESS,11,Swiggy
2024-04-17,2184,SUCCESS,20,Razorpay Payment
2024-03-23,5184,SUCCESS,8,Razorpay Payment
2024-03-01,377,SUCCESS,8,Transfer to savings
2024-01-17,5415,FAILED,44,Electricity Bill
2024-01-24,7159,SUCCESS,21,Client Payment
2024-02-13,1987,SUCCESS,56,Swiggy
2024-02-26,4679,SUCCESS,56,Razorpay Payment
2024-04-11,1365,SUCCESS,40,Swiggy
2024-04-21,7591,SUCCESS,42,Amazon Order
2024-02-25,4926,SUCCESS,54,Swiggy
2024-04-20,6435,FAILED,67,Salary Credit
2024-04-30,1140,SUCCESS,67,Netflix
2024-02-13,6767,SUCCESS,66,Razorpay Payment
