Txn Date,Narration,Withdrawal Amt,Deposit Amt,Balance (INR)
2024-04-05,Netflix,0,6207,19257
2024-03-19,Razorpay Payment,1531,0,13855
2024-01-22,Netflix,4882,0,86178
2024-01-16,Interest Credit,2990,0,21025
2024-01-15,Client Payment,0,266,5458
2024-02-22,UPI Payment,0,1845,64610
2024-01-15,Amazon Order,933,0,71843
2024-01-24,ATM Withdrawal,1460,0,84961
2024-01-19,Client Payment,0,3211,50831
2024-03-20,Interest Credit,0,2293,44427
2024-02-03,Client Payment,285,0,39506
2024-02-29,Interest Credit,264,0,6668
2024-02-27,Zomato,2367,0,48195
2024-01-31,Zomato,0,1510,74233
2024-04-11,Refund,4916,0,25417
2024-04-11,Refund,1762,0,82982
2024-03-03,Swiggy,0,976,11751
2024-04-11,Salary Credit,0,1207,47218
2024-01-15,UPI Payment,2269,0,8352
2024-03-27,UPI Payment,0,1960,80052
2024-04-11,Transfer to savings,67,0,89835
2024-02-25,Interest Credit,0,5113,29927
2024-02-23,Netflix,4008,0,42094
2024-04-11,UPI Payment,0,5701,55122
2024-02-29,UPI Payment,4790,0,30493
2024-04-23,Salary Credit,0,882,74539
2024-04-13,Razorpay Payment,0,2194,32707
2024-01-12,Refund,0,4761,69814
2024-03-27,Refund,0,7471,8296
2024-02-29,Amazon Order,0,2667,26398
2024-04-15,UPI Payment,778,0,36842
2024-03-06,Salary Credit,4589,0,14261
2024-03-01,ATM Withdrawal,0,4959,77709
2024-04-21,Refund,1492,0,57704
2024-03-17,Salary Credit,0,7166,68173
2024-01-15,Electricity Bill,0,4790,32781
2024-04-30,Razorpay Payment,1299,0,14652
2024-01-01,UPI Payment,0,5347,6103
2024-02-12,Amazon Order,1986,0,26500
2024-04-16,Interest Credit,0,1610,36529
2024-04-10,Netflix,3516,0,19452
2024-03-23,Refund,1058,0,50393
2024-04-16,Electricity Bill,0,2454,32174
2024-04-06,ATM Withdrawal,0,4494,65450
2024-03-05,Interest Credit,0,1946,36436
2024-03-27,Salary Credit,0,4810,48406
2024-02-08,Zomato,3136,0,64059
2024-02-12,Client Payment,0,2808,16954
2024-02-07,UPI Payment,1447,0,83722
2024-01-07,UPI Payment,0,3825,13356
2024-02-11,Electricity Bill,0,3536,3187
2024-01-12,Salary Credit,0,5810,78243
2024-04-03,Swiggy,0,6068,36098
2024-03-07,UPI Payment,4754,0,22225
2024-03-20,Swiggy,0,3802,4606
2024-03-16,ATM Withdrawal,4915,0,58620
2024-04-07,Zomato,0,4699,33828
2024-04-13,Electricity Bill,1573,0,27489
2024-01-07,Interest Credit,0,5806,15387
2024-01-23,Salary Credit,0,6142,70463
2024-04-05,Salary Credit,4274,0,72832
2024-01-07,Transfer to savings,4227,0,3591
2024-01-21,ATM Withdrawal,0,902,49516
2024-03-07,ATM Withdrawal,1478,0,63061
2024-03-04,Razorpay Payment,2395,0,67736
2024-02-23,Client Payment,771,0,82257
2024-02-23,Refund,578,0,62753
2024-04-11,Refund,0,7496,85774
2024-02-21,Transfer to savings,0,1863,12087
2024-01-21,Netflix,2007,0,31816
2024-04-20,Amazon Order,1185,0,24408
2024-02-14,Electricity Bill,2394,0,1136
2024-03-28,Zomato,2998,0,18413
2024-04-19,Salary Credit,1792,0,60500
2024-02-08,Client Payment,1110,0,85514
2024-02-09,Swiggy,4005,0,57358
2024-03-22,Electricity Bill,0,6290,67197
2024-01-24,Netflix,3736,0,33854
2024-04-23,Electricity Bill,0,7973,77240
2024-04-06,Netflix,0,5442,17322
2024-02-22,Salary Credit,0,2490,7968
2024-02-24,Amazon Order,0,6980,28518
2024-03-19,Netflix,0,5132,52925
2024-03-24,Salary Credit,0,942,60848
2024-02-15,Salary Credit,0,7661,2700
2024-04-06,Amazon Order,0,1724,24199
2024-01-21,Refund,0,2334,45589
2024-02-13,Electricity Bill,0,2767,33115
2024-01-06,Transfer to savings,1644,0,62934
2024-03-08,UPI Payment,2800,0,55316
2024-01-08,UPI Payment,4962,0,6520
2024-03-01,Transfer to savings,0,3420,37455
2024-01-02,Swiggy,0,5845,87465
2024-02-05,ATM Withdrawal,0,4778,42605
2024-03-23,Swiggy,0,3906,15955
2024-03-25,ATM Withdrawal,1325,0,45049
2024-02-26,Transfer to savings,4976,0,14917
2024-01-11,UPI Payment,0,5929,71293
2024-02-24,Zomato,0,2367,79581
2024-03-06,UPI Payment,0,4221,65925
2024-02-29,Swiggy,4499,0,71269
2024-03-28,Client Payment,0,1999,31954
2024-01-07,Transfer to savings,0,1227,73617
2024-04-29,Swiggy,0,6337,42458
2024-03-12,Zomato,0,3752,22113
2024-03-28,Electricity Bill,0,3735,44939
2024-04-16,ATM Withdrawal,703,0,30345
2024-04-10,UPI Payment,0,695,47313
2024-03-17,Amazon Order,0,1309,70166
2024-02-05,Client Payment,0,4152,48861
2024-04-14,Salary Credit,0,7901,50298
2024-01-01,Zomato,4648,0,48221
2024-04-28,Swiggy,855,0,45942
