Transaction Date,Amount INR,Status,Gateway Fee,Description
2024-04-29,2112,FAILED,72,Transfer to savings
2024-03-14,1647,SUCCESS,49,Electricity Bill
2024-03-10,394,SUCCESS,64,Razorpay Payment
2024-01-22,2085,SUCCESS,16,Zomato
2024-02-20,5443,SUCCESS,36,Razorpay Payment
2024-02-25,5744,SUCCESS,17,Client Payment
2024-03-06,3217,SUCCESS,35,Interest Credit
2024-03-03,1790,SUCCESS,24,Zomato
2024-04-27,1236,SUCCESS,22,Transfer to savings
2024-03-12,5452,FAILED,64,Client Payment
2024-04-09,2164,SUCCESS,67,Interest Credit
2024-04-13,4555,PENDING,10,Refund
2024-04-10,7490,SUCCESS,36,Electricity Bill
2024-04-18,7109,SUCCESS,47,ATM Withdrawal
2024-02-19,4895,SUCCESS,6,Refund
2024-03-18,4643,SUCCESS,64,Amazon Order
2024-01-29,7099,FAILED,27,Razorpay Payment
2024-03-14,6608,SUCCESS,35,ATM Withdrawal
2024-04-26,4870,FAILED,9,Client Payment
2024-04-09,1107,SUCCESS,38,Swiggy
2024-04-20,5545,SUCCESS,14,Refund
2024-04-26,2614,SUCCESS,6,Amazon Order
2024-01-27,6657,SUCCESS,15,UPI Payment
2024-02-17,3626,SUCCESS,54,ATM Withdrawal
2024-03-26,4781,SUCCESS,35,Netflix
2024-03-13,5452,SUCCESS,60,Zomato
2024-01-10,1347,SUCCESS,77,Amazon Order
2024-01-14,5189,SUCCESS,13,Electricity Bill
2024-03-31,4002,SUCCESS,25,ATM Withdrawal
2024-04-03,1535,SUCCESS,77,Refund
2024-04-17,671,SUCCESS,32,Electricity Bill
2024-03-31,2482,SUCCESS,66,Netflix
2024-04-24,1345,SUCCESS,11,Swiggy
2024-01-29,2184,SUCCESS,20,Razorpay Payment
2024-04-12,5184,SUCCESS,8,Razorpay Payment
2024-04-19,377,SUCCESS,8,Transfer to savings
2024-02-15,5415,FAILED,44,Electricity Bill
2024-04-05,7159,SUCCESS,21,Client Payment
2024-01-02,1987,SUCCESS,56,Swiggy
2024-02-22,4679,SUCCESS,56,Razorpay Payment
2024-04-21,1365,SUCCESS,40,Swiggy
2024-04-06,7591,SUCCESS,42,Amazon Order
2024-02-02,4926,SUCCESS,54,Swiggy
2024-02-07,6435,FAILED,67,Salary Credit
2024-03-20,1140,SUCCESS,67,Netflix
2024-02-29,6767,SUCCESS,66,Razorpay Payment
2024-04-27,1017,SUCCESS,11,Swiggy
2024-04-03,6644,SUCCESS,31,Electricity Bill
2024-02-09,985,SUCCESS,18,UPI Payment
2024-01-13,2852,SUCCESS,75,Salary Credit
2024-01-13,121,SUCCESS,9,Salary Credit
2024-02-25,4669,PENDING,59,Client Payment
2024-04-22,3291,SUCCESS,6,Swiggy
2024-02-20,6453,SUCCESS,66,Transfer to savings
2024-03-06,2453,SUCCESS,25,Client Payment
2024-01-21,7537,SUCCESS,25,Interest Credit
2024-02-01,4899,SUCCESS,14,Client Payment
2024-03-02,786,SUCCESS,62,UPI Payment
2024-01-19,384,FAILED,43,Amazon Order
2024-02-20,4911,FAILED,9,Swiggy
2024-02-27,3847,SUCCESS,69,Refund
2024-03-05,862,FAILED,17,Razorpay Payment
2024-01-06,5446,SUCCESS,57,Client Payment
2024-01-09,5143,SUCCESS,49,Netflix
2024-04-14,2528,SUCCESS,36,Zomato
2024-04-07,2607,PENDING,40,Netflix
2024-04-01,5226,SUCCESS,64,UPI Payment
2024-02-18,128,SUCCESS,15,UPI Payment
2024-03-18,1006,SUCCESS,67,Electricity Bill
2024-02-18,3204,SUCCESS,25,Interest Credit
2024-02-15,7913,SUCCESS,56,Interest Credit
2024-03-18,7122,SUCCESS,59,Amazon Order
2024-04-07,6322,SUCCESS,30,Transfer to savings
2024-04-27,4099,SUCCESS,72,Razorpay Payment
2024-01-11,3094,SUCCESS,38,ATM Withdrawal
2024-02-21,2606,SUCCESS,56,Client Payment
2024-02-15,4765,SUCCESS,56,Netflix
2024-02-25,6202,SUCCESS,33,Zomato
2024-04-15,3709,SUCCESS,42,UPI Payment
2024-02-15,3653,SUCCESS,46,UPI Payment
2024-01-29,1553,SUCCESS,25,Amazon Order
2024-03-28,4933,PENDING,46,Zomato
2024-02-08,3456,SUCCESS,17,Zomato
2024-01-11,615,SUCCESS,68,Amazon Order
2024-03-29,6196,SUCCESS,21,UPI Payment
2024-02-23,7366,SUCCESS,13,Razorpay Payment
2024-02-02,6640,SUCCESS,45,Swiggy
2024-03-20,7756,SUCCESS,5,Swiggy
2024-02-05,138,SUCCESS,6,Amazon Order
2024-01-08,3442,SUCCESS,64,Zomato
2024-04-01,986,PENDING,52,Client Payment
2024-04-04,2944,FAILED,33,Amazon Order
2024-02-16,2304,SUCCESS,14,Razorpay Payment
2024-01-20,1198,SUCCESS,62,Amazon Order
2024-03-18,7127,FAILED,64,Salary Credit
2024-04-14,1923,SUCCESS,25,Interest Credit
2024-04-11,3301,SUCCESS,32,Netflix
2024-01-15,5906,PENDING,79,Zomato
2024-02-21,5169,SUCCESS,38,Transfer to savings
2024-03-19,3255,SUCCESS,12,Electricity Bill
2024-04-12,3193,PENDING,63,Electricity Bill
2024-01-15,3630,SUCCESS,76,Zomato
2024-02-06,5758,SUCCESS,53,Transfer to savings
2024-01-23,3878,SUCCESS,21,ATM Withdrawal
2024-04-12,2996,FAILED,64,Razorpay Payment
2024-02-17,3553,FAILED,49,Salary Credit
2024-02-17,6991,FAILED,73,Salary Credit
2024-04-03,3611,SUCCESS,36,UPI Payment
2024-04-20,7871,FAILED,48,Netflix
2024-03-20,1088,PENDING,69,Swiggy
2024-04-01,4216,SUCCESS,12,Refund
2024-02-23,6546,PENDING,76,Razorpay Payment
2024-02-27,5064,FAILED,47,Refund
2024-02-26,4126,SUCCESS,5,Refund
2024-01-01,4279,SUCCESS,55,Zomato
2024-04-25,1782,SUCCESS,28,Electricity Bill
2024-03-20,6172,SUCCESS,28,Electricity Bill
2024-04-05,7720,SUCCESS,21,Swiggy
2024-04-13,5606,SUCCESS,9,Zomato
2024-03-08,5726,FAILED,24,Refund
2024-04-02,7524,PENDING,25,Transfer to savings
2024-01-24,4765,FAILED,62,ATM Withdrawal
2024-02-19,4063,SUCCESS,35,Interest Credit
2024-04-24,1033,SUCCESS,15,Client Payment
2024-04-27,3698,SUCCESS,56,Electricity Bill
2024-02-21,3333,SUCCESS,19,Razorpay Payment
2024-04-02,2080,FAILED,11,Transfer to savings
2024-04-14,7430,PENDING,32,Razorpay Payment
2024-04-05,1955,SUCCESS,55,UPI Payment
2024-02-16,3156,PENDING,62,Amazon Order
2024-04-11,892,FAILED,9,Client Payment
2024-01-06,891,SUCCESS,9,Electricity Bill
2024-02-22,7791,FAILED,12,Salary Credit
2024-02-19,1909,SUCCESS,68,Electricity Bill
2024-02-26,5490,SUCCESS,14,Transfer to savings
2024-01-07,6735,SUCCESS,42,UPI Payment
2024-01-06,2355,SUCCESS,12,Razorpay Payment
2024-04-29,3710,SUCCESS,29,Refund
2024-04-07,1707,SUCCESS,77,Salary Credit
2024-01-28,5279,SUCCESS,70,Zomato
2024-02-28,6673,SUCCESS,54,Netflix
2024-03-25,1084,SUCCESS,71,Refund
2024-01-18,5876,SUCCESS,53,Netflix
2024-02-08,3776,SUCCESS,40,Client Payment
2024-04-18,3480,SUCCESS,72,ATM Withdrawal
2024-04-02,619,SUCCESS,45,Amazon Order
2024-02-07,690,SUCCESS,66,ATM Withdrawal
2024-04-29,1150,SUCCESS,14,Salary Credit
2024-01-29,5905,SUCCESS,25,Swiggy
2024-03-18,3733,FAILED,40,Salary Credit
2024-01-10,6231,SUCCESS,16,ATM Withdrawal
2024-01-11,6442,SUCCESS,6,Electricity Bill
2024-03-30,6630,PENDING,17,Transfer to savings
2024-01-27,4544,FAILED,57,Razorpay Payment
2024-01-30,1059,PENDING,36,Electricity Bill
2024-04-11,6159,FAILED,20,Electricity Bill
2024-03-28,792,SUCCESS,36,Transfer to savings
2024-04-27,5755,SUCCESS,36,Transfer to savings
2024-02-26,3999,SUCCESS,15,Client Payment
2024-03-27,4573,SUCCESS,14,Refund
2024-04-24,3046,SUCCESS,19,Swiggy
2024-04-01,7159,SUCCESS,21,Swiggy
2024-02-17,7825,SUCCESS,44,Electricity Bill
2024-04-20,626,FAILED,22,Netflix
2024-04-07,3324,FAILED,59,Client Payment
2024-03-16,6977,SUCCESS,77,Electricity Bill
2024-04-20,2353,FAILED,29,Amazon Order
2024-03-16,6698,SUCCESS,63,Razorpay Payment
2024-03-23,3444,FAILED,26,Transfer to savings
2024-04-30,4065,SUCCESS,34,Refund
2024-02-21,5455,PENDING,48,Zomato
2024-01-04,1975,SUCCESS,36,Transfer to savings
2024-03-06,1863,SUCCESS,55,Amazon Order
2024-02-10,620,SUCCESS,50,Netflix
2024-02-02,5897,SUCCESS,25,Salary Credit
2024-03-03,1116,SUCCESS,36,Interest Credit
2024-03-30,7199,SUCCESS,43,Salary Credit
2024-04-17,6969,SUCCESS,16,ATM Withdrawal
2024-04-28,5209,SUCCESS,51,Amazon Order
2024-04-28,6744,SUCCESS,22,ATM Withdrawal
2024-02-27,216,PENDING,25,Electricity Bill
2024-01-09,2533,SUCCESS,17,Zomato
2024-01-07,5563,SUCCESS,25,UPI Payment
2024-01-06,683,SUCCESS,12,Transfer to savings
2024-04-04,494,FAILED,50,UPI Payment
2024-03-06,5283,SUCCESS,11,Netflix
2024-04-27,3888,PENDING,27,Electricity Bill
2024-04-20,2868,FAILED,79,Swiggy
2024-02-08,4267,SUCCESS,26,Transfer to savings
2024-03-01,3960,SUCCESS,26,ATM Withdrawal
2024-03-23,373,FAILED,33,Swiggy
2024-04-05,2113,FAILED,17,Refund
2024-04-16,5539,SUCCESS,6,Zomato
2024-03-21,4533,SUCCESS,33,Zomato
2024-04-04,1489,FAILED,56,Salary Credit
2024-04-27,3666,SUCCESS,31,Client Payment
2024-04-12,4802,PENDING,54,Transfer to savings
2024-02-28,265,SUCCESS,27,ATM Withdrawal
2024-04-16,1667,SUCCESS,48,Netflix
2024-01-30,6254,FAILED,26,UPI Payment
2024-04-07,5520,SUCCESS,47,Interest Credit
2024-02-14,828,SUCCESS,41,Netflix
2024-01-08,7044,SUCCESS,65,Swiggy
2024-01-17,2143,SUCCESS,60,Swiggy
2024-03-24,4297,SUCCESS,7,Interest Credit
2024-01-30,3596,SUCCESS,67,Amazon Order
2024-04-02,5611,SUCCESS,23,Refund
2024-03-27,878,FAILED,27,Transfer to savings
2024-02-12,313,SUCCESS,33,Zomato
2024-02-29,3862,SUCCESS,34,Razorpay Payment
2024-02-11,5307,SUCCESS,43,ATM Withdrawal
2024-03-27,1676,PENDING,29,Netflix
2024-02-14,2548,FAILED,12,ATM Withdrawal
2024-03-30,6831,SUCCESS,62,Swiggy
2024-02-19,3036,SUCCESS,20,Client Payment
2024-04-12,3217,SUCCESS,76,Salary Credit
2024-03-17,5891,FAILED,5,UPI Payment
2024-04-08,7730,FAILED,9,Refund
2024-03-11,691,SUCCESS,7,Client Payment
2024-04-08,5529,FAILED,69,Refund
2024-01-03,5305,FAILED,8,Amazon Order
2024-02-29,6335,SUCCESS,68,Razorpay Payment
2024-03-26,7927,SUCCESS,14,Swiggy
2024-02-15,2820,SUCCESS,25,Salary Credit
2024-03-24,813,SUCCESS,50,Interest Credit
2024-02-06,1035,FAILED,31,Transfer to savings
2024-04-19,6147,SUCCESS,70,Interest Credit
2024-02-04,4437,SUCCESS,45,Client Payment
2024-04-03,6239,SUCCESS,17,Refund
2024-01-06,101,SUCCESS,13,Zomato
2024-04-25,6468,SUCCESS,40,Amazon Order
